icon
sap-icon://customer-financial-fact-sheet
sap-icon://customer-history
sap-icon://customer-order-entry
sap-icon://customer-view
sap-icon://customize
sap-icon://cut
sap-icon://dashboard
sap-icon://database
sap-icon://date-time
sap-icon://decision
sap-icon://decline
sap-icon://decrease-line-height
sap-icon://delete
sap-icon://delete-filter
sap-icon://delete-row
sap-icon://descend
sap-icon://desktop-mobile
sap-icon://detail-view
sap-icon://developer-settings
sap-icon://dimension
sap-icon://disconnected
sap-icon://discussion
sap-icon://dishwasher
sap-icon://display
sap-icon://display-more
sap-icon://doc-attachment
sap-icon://doctor
sap-icon://document
sap-icon://document-text
sap-icon://documents
sap-icon://donut-chart
sap-icon://down
sap-icon://download
sap-icon://download-from-cloud
sap-icon://draw-rectangle
sap-icon://drill-down
sap-icon://drill-up
sap-icon://drop-down-list
sap-icon://dropdown
sap-icon://duplicate
sap-icon://e-care
sap-icon://e-learning
sap-icon://eam-work-order
sap-icon://edit
sap-icon://edit-outside
sap-icon://education
sap-icon://electrocardiogram
sap-icon://electronic-medical-record
sap-icon://email
sap-icon://email-read
sap-icon://employee
sap-icon://employee-approvals
sap-icon://employee-pane
sap-icon://employee-rejections
sap-icon://end-user-experience-monitoring
sap-icon://energy-saving-lightbulb
sap-icon://enter-more
sap-icon://eraser
sap-icon://error
sap-icon://example
sap-icon://excel-attachment
sap-icon://exit-full-screen
sap-icon://expand
sap-icon://expand-group
sap-icon://expense-report
sap-icon://explorer
sap-icon://factory
sap-icon://fallback
sap-icon://family-care
sap-icon://favorite
sap-icon://favorite-list
sap-icon://fax-machine
sap-icon://feed
sap-icon://feeder-arrow
sap-icon://filter
sap-icon://filter-analytics
sap-icon://filter-facets
sap-icon://filter-fields
sap-icon://filter-table
sap-icon://flag
sap-icon://flight
sap-icon://fob-watch
sap-icon://folder
sap-icon://folder-blank
sap-icon://folder-full
sap-icon://form
sap-icon://forward
sap-icon://fridge
sap-icon://full-screen
sap-icon://full-stacked-chart
sap-icon://full-stacked-column-chart
sap-icon://functional-location
sap-icon://future
sap-icon://gantt-bars
sap-icon://general-leave-request
sap-icon://generate-shortcut
sap-icon://geographic-bubble-chart
sap-icon://globe
sap-icon://goal
sap-icon://goalseek
sap-icon://grid
sap-icon://group
sap-icon://group-2
sap-icon://grouping
sap-icon://growth
sap-icon://hamburger-menu
sap-icon://hand
sap-icon://heading
sap-icon://headset
sap-icon://heating-cooling
sap-icon://heatmap-chart
sap-icon://hello-world
sap-icon://hide
sap-icon://hint
sap-icon://history
sap-icon://home
sap-icon://home-share
sap-icon://horizontal-bar-chart
sap-icon://horizontal-bar-chart-2
sap-icon://horizontal-bullet-chart
sap-icon://horizontal-grip
sap-icon://horizontal-stacked-chart
sap-icon://hr-approval
sap-icon://idea-wall
sap-icon://image-viewer
sap-icon://inbox
sap-icon://incident
sap-icon://incoming-call
sap-icon://increase-line-height
sap-icon://indent
sap-icon://initiative
sap-icon://inspect
sap-icon://inspection
sap-icon://instance
sap-icon://insurance-car
sap-icon://insurance-house
sap-icon://insurance-life
sap-icon://internet-browser
sap-icon://inventory
sap-icon://ipad
sap-icon://iphone
sap-icon://it-host
sap-icon://it-instance
sap-icon://it-system
sap-icon://italic-text
sap-icon://journey-arrive
sap-icon://journey-change
sap-icon://journey-depart
sap-icon://key
sap-icon://key-user-settings
sap-icon://kpi-corporate-performance
sap-icon://kpi-managing-my-area
sap-icon://lab
sap-icon://laptop
sap-icon://lateness
sap-icon://lead
sap-icon://lead-outdated
sap-icon://leadership
sap-icon://learning-assistant
sap-icon://legend
sap-icon://less
sap-icon://letter
sap-icon://lightbulb
sap-icon://line-chart
sap-icon://line-chart-dual-axis
sap-icon://line-chart-time-axis
sap-icon://line-charts
sap-icon://link
sap-icon://list
sap-icon://loan
sap-icon://locate-me
sap-icon://locked
sap-icon://log
sap-icon://machine
sap-icon://manager
sap-icon://map
sap-icon://map-2
sap-icon://map-3
sap-icon://marketing-campaign
sap-icon://master-task-triangle
sap-icon://meal
sap-icon://measurement-document
sap-icon://measuring-point
sap-icon://media-forward
sap-icon://media-pause
sap-icon://media-play
sap-icon://media-reverse
sap-icon://media-rewind
sap-icon://media-stop
sap-icon://meeting-room
sap-icon://menu
sap-icon://menu2
sap-icon://message-error
sap-icon://message-information
sap-icon://message-popup
sap-icon://message-success
sap-icon://message-warning
sap-icon://microphone
sap-icon://mileage
sap-icon://minimize
sap-icon://mirrored-task-circle
sap-icon://mirrored-task-circle-2
sap-icon://money-bills
sap-icon://monitor-payments
sap-icon://move
sap-icon://mri-scan
sap-icon://multiple-bar-chart
sap-icon://multiple-line-chart
sap-icon://multiple-pie-chart
sap-icon://multiple-radar-chart
sap-icon://my-sales-order
sap-icon://my-view
sap-icon://nav-back
sap-icon://navigation-down-arrow
sap-icon://navigation-left-arrow
sap-icon://navigation-right-arrow
sap-icon://navigation-up-arrow
sap-icon://negative
sap-icon://netweaver-business-client
sap-icon://newspaper
sap-icon://notes
sap-icon://notification
sap-icon://number-sign
sap-icon://numbered-text
sap-icon://nurse
sap-icon://nutrition-activity
sap-icon://official-service
sap-icon://offsite-work
sap-icon://open-command-field
sap-icon://open-folder
sap-icon://open-source
sap-icon://opportunity
sap-icon://order-status
sap-icon://org-chart
sap-icon://outbox
sap-icon://outdent
sap-icon://outgoing-call
sap-icon://overflow
sap-icon://overlay
sap-icon://overview-chart
sap-icon://paging
sap-icon://paid-leave
sap-icon://palette
sap-icon://paper-plane
sap-icon://passenger-train
sap-icon://paste
sap-icon://pause
sap-icon://payment-approval
sap-icon://pdf-attachment
sap-icon://pdf-reader
sap-icon://pending
sap-icon://per-diem
sap-icon://performance
sap-icon://permission
sap-icon://person-placeholder
sap-icon://personnel-view
sap-icon://pharmacy
sap-icon://phone
sap-icon://photo-voltaic
sap-icon://physical-activity
sap-icon://picture
sap-icon://pie-chart
sap-icon://pipeline-analysis
sap-icon://play
sap-icon://pool
sap-icon://popup-window
sap-icon://positive
sap-icon://post
sap-icon://ppt-attachment
sap-icon://present
sap-icon://print
sap-icon://private
sap-icon://process
sap-icon://product
sap-icon://program-triangles
sap-icon://project-definition-triangle
sap-icon://projector
sap-icon://provision
sap-icon://pull-down
sap-icon://pushpin-off
sap-icon://pushpin-on
sap-icon://puzzle
sap-icon://quality-issue
sap-icon://question-mark
sap-icon://quick-view
sap-icon://radar-chart
sap-icon://rain
sap-icon://receipt
sap-icon://record
sap-icon://redo
sap-icon://refresh
sap-icon://repost
sap-icon://request
sap-icon://reset
sap-icon://resize
sap-icon://resize-horizontal
sap-icon://resize-vertical
sap-icon://response
sap-icon://restart
sap-icon://retail-store
sap-icon://retail-store-manager
sap-icon://rhombus-milestone
sap-icon://role
sap-icon://sales-document
sap-icon://sales-notification
sap-icon://sales-order
sap-icon://sales-quote
sap-icon://sap-box
sap-icon://sap-logo-shape
sap-icon://sap-ui5
sap-icon://save
sap-icon://scatter-chart
sap-icon://scissors
sap-icon://screen-split-one
sap-icon://screen-split-three
sap-icon://screen-split-two
sap-icon://search
sap-icon://settings
sap-icon://share
sap-icon://share-2
sap-icon://shelf
sap-icon://shield
sap-icon://shipping-status
sap-icon://shortcut
sap-icon://show
sap-icon://signature
sap-icon://simple-payment
sap-icon://simulate
sap-icon://slim-arrow-down
sap-icon://slim-arrow-left
sap-icon://slim-arrow-right
sap-icon://slim-arrow-up
sap-icon://soccor
sap-icon://soccer
sap-icon://sonography
sap-icon://sort
sap-icon://sort-ascending
sap-icon://sort-descending
sap-icon://sorting-ranking
sap-icon://sound
sap-icon://sound-loud
sap-icon://sound-off
sap-icon://source-code
sap-icon://status-critical
sap-icon://status-error
sap-icon://status-inactive
sap-icon://status-negative
sap-icon://status-positive
sap-icon://status-warning
sap-icon://step
sap-icon://stethoscope
sap-icon://stop
sap-icon://study-leave
sap-icon://subway-train
sap-icon://suitcase
sap-icon://supplier
sap-icon://survey
sap-icon://switch-classes
sap-icon://switch-views
sap-icon://synchronize
sap-icon://syntax
sap-icon://sys-add
sap-icon://sys-back
sap-icon://sys-cancel
sap-icon://sys-enter
sap-icon://sys-find
sap-icon://sys-minus
sap-icon://sys-monitor
sap-icon://sys-next-page
sap-icon://sys-prev-page
sap-icon://sys-refresh
sap-icon://sys-remove
sap-icon://sys-repeat
sap-icon://sys-save
sap-icon://sys-search
sap-icon://sys-help
sap-icon://table-chart
sap-icon://table-view
sap-icon://tag
sap-icon://tags
sap-icon://target-group
sap-icon://task
sap-icon://taxi
sap-icon://technical-object
sap-icon://temperature
sap-icon://text-align-center
sap-icon://text-align-justified
sap-icon://text-align-left
sap-icon://text-align-right
sap-icon://text-formatting
sap-icon://theater
sap-icon://thing-type
sap-icon://thumb-down
sap-icon://thumb-up
sap-icon://time-account
sap-icon://time-entry-request
sap-icon://time-overtime
sap-icon://timesheet
sap-icon://to-be-reviewed
sap-icon://toaster-up
sap-icon://toaster-top
sap-icon://toaster-bottom
sap-icon://toaster-down
sap-icon://tools-opportunity
sap-icon://travel-expense
sap-icon://travel-itinerary
sap-icon://travel-request
sap-icon://tree
sap-icon://trend-down
sap-icon://trend-up
sap-icon://trip-report
sap-icon://ui-notifications
sap-icon://umbrella
sap-icon://underline-text
sap-icon://undo
sap-icon://unfavorite
sap-icon://unlocked
sap-icon://unpaid-leave
sap-icon://unwired
sap-icon://up
sap-icon://upload
sap-icon://upload-to-cloud
sap-icon://user-edit
sap-icon://user-settings
sap-icon://value-help
sap-icon://vehicle-repair
sap-icon://vertical-bar-chart
sap-icon://vertical-bar-chart-2
sap-icon://vertical-bullet-chart
sap-icon://vertical-grip
sap-icon://vertical-stacked-chart
sap-icon://video
sap-icon://visits
sap-icon://waiver
sap-icon://wallet
sap-icon://warning
sap-icon://washing-machine
sap-icon://weather-proofing
sap-icon://web-cam
sap-icon://widgets
sap-icon://windows-doors
sap-icon://work-history
sap-icon://workflow-tasks
sap-icon://world
sap-icon://wounds-doc
sap-icon://wrench
sap-icon://write-new
sap-icon://zoom-in
sap-icon://zoom-out
